,playlist_id,playlist_title,playlist_owner_id,playlist_length,playlist_views,video_id,video_title,video_views,video_length,video_desciption,video_keywords,video_rating
0,PLF9FBF71EC6C744EB,"MIT 21M.380 Music and Technology, Fall 2009",UCEBb1b_L6zDS3xTUrIALZOw,4.0,10558.0,BGL8we3QUxI,"Lecture 13 | MIT 21M.380 Music and Technology (Contemporary History and Aesthetics), Fall 2009",24305.0,4857.0,"Lecture 13: Modular synthesizers
See the complete course at: http://ocw.mit.edu/21m-380f09

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['music technology', 'sound recording', 'sound reproduction', 'contemporary music', 'experimental music', 'electronic music', 'synthesis', 'synthesizers', 'music history', 'music software', 'analog recording', 'digital recording', 'digital audio', 'music composition', 'computer music', 'Musique concr?te', 'rock music', 'rock and roll', 'hip hop', 'circuit bending', 'phonograph', 'radio', 'noise music', 'recording studio', 'sequencer', 'sampling', 'sampler', 'sound art', 'electric guitar', 'turntablism', 'scratching', 'electro-acoustic music']",
1,PLF9FBF71EC6C744EB,"MIT 21M.380 Music and Technology, Fall 2009",UCEBb1b_L6zDS3xTUrIALZOw,4.0,10558.0,GM4pqoiS6Vg,"Lecture 12d | MIT 21M.380 Music and Technology (Contemporary History and Aesthetics), Fall 2009",9037.0,1652.0,"Lecture 12: Discussion

See the complete course at: http://ocw.mit.edu/21m-380f09

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['music technology', 'sound recording', 'sound reproduction', 'contemporary music', 'experimental music', 'electronic music', 'synthesis', 'synthesizers', 'music history', 'music software', 'analog recording', 'digital recording', 'digital audio', 'music composition', 'computer music', 'Musique concr?te', 'rock music', 'rock and roll', 'hip hop', 'circuit bending', 'phonograph', 'radio', 'noise music', 'recording studio', 'sequencer', 'sampling', 'sampler', 'sound art', 'electric guitar', 'turntablism', 'scratching', 'electro-acoustic music']",
2,PLF9FBF71EC6C744EB,"MIT 21M.380 Music and Technology, Fall 2009",UCEBb1b_L6zDS3xTUrIALZOw,4.0,10558.0,RdkB7tbufYI,"Lecture 12w | MIT 21M.380 Music and Technology (Contemporary History and Aesthetics), Fall 2009",16509.0,2228.0,"Lecture 12: Workshop
See the complete course at: http://ocw.mit.edu/21m-380f09

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['music technology', 'sound recording', 'sound reproduction', 'contemporary music', 'experimental music', 'electronic music', 'synthesis', 'synthesizers', 'music history', 'music software', 'analog recording', 'digital recording', 'digital audio', 'music composition', 'computer music', 'Musique concr?te', 'rock music', 'rock and roll', 'hip hop', 'circuit bending', 'phonograph', 'radio', 'noise music', 'recording studio', 'sequencer', 'sampling', 'sampler', 'sound art', 'electric guitar', 'turntablism', 'scratching', 'electro-acoustic music']",
3,PLF9FBF71EC6C744EB,"MIT 21M.380 Music and Technology, Fall 2009",UCEBb1b_L6zDS3xTUrIALZOw,4.0,10558.0,uKe1yzt1IrI,"Lecture 16 | MIT 21M.380 Music and Technology (Contemporary History and Aesthetics), Fall 2009",7692.0,4494.0,"Lecture 16: Turntables

See the complete course at: http://ocw.mit.edu/21m-380f09

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['music technology', 'sound recording', 'sound reproduction', 'contemporary music', 'experimental music', 'electronic music', 'synthesis', 'synthesizers', 'music history', 'music software', 'analog recording', 'digital recording', 'digital audio', 'music composition', 'computer music', 'Musique concr?te', 'rock music', 'rock and roll', 'hip hop', 'circuit bending', 'phonograph', 'radio', 'noise music', 'recording studio', 'sequencer', 'sampling', 'sampler', 'sound art', 'electric guitar', 'turntablism', 'scratching', 'electro-acoustic music']",
0,PLUl4u3cNGP60ONw6Q81tS64qKRUJ9nwq8,"How We Teach: MIT 6.046J Design and Analysis of Algorithms, Spring 2015",UCEBb1b_L6zDS3xTUrIALZOw,5.0,36637.0,U4x-hzhohB8,Meet the Educator,24889.0,190.0,"MIT 6.046J Design and Analysis of Algorithms, Spring 2015
View the complete course: http://ocw.mit.edu/6-046JS15
Instructor: Erik Demaine

In this video, the instructor discusses his role in the course, his interest in algorithms, and how teaching the class helps him understand algorithms at a deeper level.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['algorithms', 'instructor background', 'Erik Demaine']",
1,PLUl4u3cNGP60ONw6Q81tS64qKRUJ9nwq8,"How We Teach: MIT 6.046J Design and Analysis of Algorithms, Spring 2015",UCEBb1b_L6zDS3xTUrIALZOw,5.0,36637.0,ojdXVFQfZPw,Engaging Students,6333.0,53.0,"MIT 6.046J Design and Analysis of Algorithms, Spring 2015
View the complete course: http://ocw.mit.edu/6-046JS15
Instructor: Erik Demaine

In this video, the instructor suggests that one of the best ways to engage learners with the content is to communicate one's own excitement about algorithms.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['communicating excitement', 'algorithms', 'Erik Demaine', 'demonstrations']",
2,PLUl4u3cNGP60ONw6Q81tS64qKRUJ9nwq8,"How We Teach: MIT 6.046J Design and Analysis of Algorithms, Spring 2015",UCEBb1b_L6zDS3xTUrIALZOw,5.0,36637.0,z_QOKNpEVro,On Teaching Complex Content,20572.0,222.0,"MIT 6.046J Design and Analysis of Algorithms, Spring 2015
View the complete course: http://ocw.mit.edu/6-046JS15
Instructor: Erik Demaine

In this video, the instructor shares approaches for teaching a topic that students often find difficult.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['Erik Demaine', 'algorithms', 'approaching problems']",
3,PLUl4u3cNGP60ONw6Q81tS64qKRUJ9nwq8,"How We Teach: MIT 6.046J Design and Analysis of Algorithms, Spring 2015",UCEBb1b_L6zDS3xTUrIALZOw,5.0,36637.0,xnEZqVz7iy4,On the Challenge of Assessing Students' Abiliites to Apply Algorithms in New and Creative Ways,4509.0,156.0,"MIT 6.046J Design and Analysis of Algorithms, Spring 2015
View the complete course: http://ocw.mit.edu/6-046JS15
Instructor: Erik Demaine

In this video, the instructor discusses assessment strategies used in the course and the challenge of assessing students' abilities to apply algorithms in new and creative ways.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['assessment', 'algorithms', 'Erik Demaine', 'creativity', 'problem solving', 'problem sets']",
4,PLUl4u3cNGP60ONw6Q81tS64qKRUJ9nwq8,"How We Teach: MIT 6.046J Design and Analysis of Algorithms, Spring 2015",UCEBb1b_L6zDS3xTUrIALZOw,5.0,36637.0,2q7gqUuG_EA,Co-Teaching the Course,3450.0,137.0,"MIT 6.046J Design and Analysis of Algorithms, Spring 2015
View the complete course: http://ocw.mit.edu/6-046JS15
Instructor: Erik Demaine

In this video, the instructor shares his experience co-teaching the course.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu","['co-teaching', 'Erik Demaine', 'humor']",
0,PLUl4u3cNGP63IFQn8FklBOUhYVcmaxpOX,"MIT RES.EC-001 Exploring Fairness in Machine Learning, Spring 2020",UCEBb1b_L6zDS3xTUrIALZOw,9.0,9823.0,hvcYz4yzS0w,Introduction to Ethics in Machine Learning,35890.0,112.0,"MIT RES.EC-001 Exploring Fairness in Machine Learning, Spring 2020
Instructor: Dan Frey
View the complete course: https://ocw.mit.edu/RES-EC-001S20
YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP63IFQn8FklBOUhYVcmaxpOX

This video introduces the material for Introduction to Ethics in Machine Learning.

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu
Support OCW at http://ow.ly/a1If50zVRlQ

We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.","['machine learning', 'ethics', 'fairness', 'bias', 'case study', 'pedagogy', 'framework', 'artificial intelligence']",
1,PLUl4u3cNGP63IFQn8FklBOUhYVcmaxpOX,"MIT RES.EC-001 Exploring Fairness in Machine Learning, Spring 2020",UCEBb1b_L6zDS3xTUrIALZOw,9.0,9823.0,CaoJ_Z4g7FQ,Exploring Fairness in Machine Learning: Background,3063.0,314.0,"MIT RES.EC-001 Exploring Fairness in Machine Learning, Spring 2020
Instructor: Amit Gandhi
View the complete course: https://ocw.mit.edu/RES-EC-001S20
YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP63IFQn8FklBOUhYVcmaxpOX

This video presents the motivation and outline for the course. It will highlight the importance of ethics and fairness in machine learning.

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu
Support OCW at http://ow.ly/a1If50zVRlQ

We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.","['fairness', 'machine learning', 'ethics', 'limitations', 'artificial intelligence']",
2,PLUl4u3cNGP63IFQn8FklBOUhYVcmaxpOX,"MIT RES.EC-001 Exploring Fairness in Machine Learning, Spring 2020",UCEBb1b_L6zDS3xTUrIALZOw,9.0,9823.0,RQLsnWwjcNY,"USAID Appropriate Use Framework, Exploring Fairness in Machine Learning",1850.0,540.0,"MIT RES.EC-001 Exploring Fairness in Machine Learning, Spring 2020
Instructor: Amit Gandhi
View the complete course: https://ocw.mit.edu/RES-EC-001S20
YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP63IFQn8FklBOUhYVcmaxpOX

This video presents the appropriate use framework developed by USAID. It defines the concepts of relevance, representativeness, value, explainability, auditability, fairness, and accountability/responsibility.

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu
Support OCW at http://ow.ly/a1If50zVRlQ

We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.","['USAID', 'appropriate use', 'representativeness', 'auditability', 'fairness', 'model predictions']",
3,PLUl4u3cNGP63IFQn8FklBOUhYVcmaxpOX,"MIT RES.EC-001 Exploring Fairness in Machine Learning, Spring 2020",UCEBb1b_L6zDS3xTUrIALZOw,9.0,9823.0,neG4seg61VU,"Solar Lighting Example, Exploring Fairness in Machine Learning",1024.0,380.0,"MIT RES.EC-001 Exploring Fairness in Machine Learning, Spring 2020
Instructor: Amit Gandhi
View the complete course: https://ocw.mit.edu/RES-EC-001S20
YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP63IFQn8FklBOUhYVcmaxpOX

This video presents a case study in which a government/NGO may want to incorporate machine learning and discusses pros and cons of implementing ML-based solutions. It will highlight important interactions between the ML-implementer and an organization.

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu
Support OCW at http://ow.ly/a1If50zVRlQ

We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.","['implementation', 'fairness', 'non-government organizations', 'ethical challenges']",
4,PLUl4u3cNGP63IFQn8FklBOUhYVcmaxpOX,"MIT RES.EC-001 Exploring Fairness in Machine Learning, Spring 2020",UCEBb1b_L6zDS3xTUrIALZOw,9.0,9823.0,euwc0va-7Vo,"Fairness Criteria, Exploring Fairness in Machine Learning",5614.0,427.0,"MIT RES.EC-001 Exploring Fairness in Machine Learning, Spring 2020
Instructor: Mike Teodorescu
View the complete course: https://ocw.mit.edu/RES-EC-001S20
YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP63IFQn8FklBOUhYVcmaxpOX

This video presents the confusion matrix, including true negatives, true positives, false negatives, and false positives. It discusses how to choose between different fairness criteria such as demographic parity, equalized odds, and equalized opportunity.

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu
Support OCW at http://ow.ly/a1If50zVRlQ

We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.","['confusion matrix', 'demographic parity', 'equalized opportunity', 'equalized odds', 'fairness']",
5,PLUl4u3cNGP63IFQn8FklBOUhYVcmaxpOX,"MIT RES.EC-001 Exploring Fairness in Machine Learning, Spring 2020",UCEBb1b_L6zDS3xTUrIALZOw,9.0,9823.0,6EPDzvUNCd0,"Protected Attributes and 'Fairness through Unawareness,' Exploring Fairness in Machine Learning",1570.0,378.0,"MIT RES.EC-001 Exploring Fairness in Machine Learning, Spring 2020
Instructor: Mike Teodorescu
View the complete course: https://ocw.mit.edu/RES-EC-001S20
YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP63IFQn8FklBOUhYVcmaxpOX

This video presents some examples of disparate treatment and disparate impact in the media. It will introduce protected attributes, cover examples of laws that govern protected attributes, and introduce the concept of fairness through unawareness.

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu
Support OCW at http://ow.ly/a1If50zVRlQ

We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.","['disparate treatement', 'fairness through unawareness', 'protected attributes', 'policy making']",
6,PLUl4u3cNGP63IFQn8FklBOUhYVcmaxpOX,"MIT RES.EC-001 Exploring Fairness in Machine Learning, Spring 2020",UCEBb1b_L6zDS3xTUrIALZOw,9.0,9823.0,Nc2qMVsHkgc,Case Studies with Data: Mitigating Gender Bias on the UCI Adult Dataset,1605.0,1335.0,"MIT RES.EC-001 Exploring Fairness in Machine Learning, Spring 2020
Instructor: Audace Nakeshimana
View the complete course: https://ocw.mit.edu/RES-EC-001S20
YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP63IFQn8FklBOUhYVcmaxpOX

This video explores  principles involved in building less-biased machine learning modules and data-based and model-based techniques for mitigating bias. These are then applied to the UCI adult dataset.

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu
Support OCW at http://ow.ly/a1If50zVRlQ

We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.","['UCI Adult Dataset', 'gender bias', 'model bias', 'algorithmic bias', 'debiasing techniques', 'machine learning']",
